#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
RMDv1_0000000654	234267.Acid_6881	0.0	1169.0	COG1361@1|root,COG3534@1|root,COG4625@1|root,COG1361@2|Bacteria,COG3534@2|Bacteria,COG4625@2|Bacteria,3Y354@57723|Acidobacteria	2|Bacteria	M	PKD domain containing protein	-	-	3.4.21.50	ko:K01337,ko:K20276,ko:K21449	ko02024,map02024	-	-	-	ko00000,ko00001,ko01000,ko01002,ko02000	1.B.40.2	-	-	Autotransporter,DUF4347,Glyco_hydro_43,He_PIG,P_proprotein,Peptidase_S8,TIG
RMDv1_0000000655	485918.Cpin_5094	7.64e-47	197.0	COG1472@1|root,COG3391@1|root,COG4932@1|root,COG1472@2|Bacteria,COG3391@2|Bacteria,COG4932@2|Bacteria,4PN87@976|Bacteroidetes	976|Bacteroidetes	M	Calx-beta domain	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000656	1123400.KB904750_gene690	7.29e-42	180.0	COG0823@1|root,COG2834@1|root,COG3386@1|root,COG0823@2|Bacteria,COG2834@2|Bacteria,COG3386@2|Bacteria,1QXUF@1224|Proteobacteria,1T5V1@1236|Gammaproteobacteria	1224|Proteobacteria	GMU	Cadherin domain	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,DUF4214,DUF5122,HYR,VCBS
RMDv1_0000000657	1218075.BAYA01000018_gene4728	0.000124	56.6	COG4447@1|root,COG4447@2|Bacteria,1ND1J@1224|Proteobacteria,2VMA5@28216|Betaproteobacteria,1K2TY@119060|Burkholderiaceae	28216|Betaproteobacteria	S	protein related to plant photosystem II stability assembly factor	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000658	436308.Nmar_1129	1.37e-17	97.8	COG3794@1|root,arCOG02926@2157|Archaea	2157|Archaea	C	PFAM blue (type 1) copper domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Copper-bind
RMDv1_0000000659	402777.KB235899_gene4897	1.14e-42	183.0	COG1404@1|root,COG2931@1|root,COG3266@1|root,COG3391@1|root,COG1404@2|Bacteria,COG2931@2|Bacteria,COG3266@2|Bacteria,COG3391@2|Bacteria,1GR3A@1117|Cyanobacteria,1HI6V@1150|Oscillatoriales	1117|Cyanobacteria	OQ	Haemolysin-type calcium-binding repeat (2 copies)	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta,DUF4347,HemolysinCabind
RMDv1_0000000660	1296416.JACB01000101_gene4034	0.0	1695.0	COG1361@1|root,COG2373@1|root,COG3291@1|root,COG4932@1|root,COG1361@2|Bacteria,COG2373@2|Bacteria,COG3291@2|Bacteria,COG4932@2|Bacteria,4NTQU@976|Bacteroidetes,1I49M@117743|Flavobacteriia,2YIQ9@290174|Aquimarina	976|Bacteroidetes	M	Large extracellular alpha-helical protein	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C
RMDv1_0000000661	1538295.JY96_16965	2.72e-129	470.0	COG2304@1|root,COG2911@1|root,COG2931@1|root,COG3210@1|root,COG2304@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3210@2|Bacteria,1MU7T@1224|Proteobacteria,2WI67@28216|Betaproteobacteria,1KMDS@119065|unclassified Burkholderiales	28216|Betaproteobacteria	MQU	Domain of unknown function (DUF4347)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4347
RMDv1_0000000662	246197.MXAN_3636	0.0	3239.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000663	1313421.JHBV01000051_gene169	0.0	1333.0	COG2132@1|root,COG3209@1|root,COG3292@1|root,COG2132@2|Bacteria,COG3209@2|Bacteria,COG3292@2|Bacteria,4PKBQ@976|Bacteroidetes	976|Bacteroidetes	M	SPTR CHU large protein	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,SprB
RMDv1_0000000664	886293.Sinac_4765	3.2e-24	122.0	COG3210@1|root,COG4733@1|root,COG3210@2|Bacteria,COG4733@2|Bacteria,2J50K@203682|Planctomycetes	203682|Planctomycetes	U	Pkd domain containing protein	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	-
RMDv1_0000000665	1185876.BN8_00772	1.25e-224	779.0	COG3209@1|root,COG3291@1|root,COG3209@2|Bacteria,COG3291@2|Bacteria,4NDZC@976|Bacteroidetes,47MNQ@768503|Cytophagia	976|Bacteroidetes	O	SprB repeat	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,PKD,SprB,TIG
RMDv1_0000000666	903818.KI912269_gene149	1.03e-75	293.0	COG4932@1|root,COG4932@2|Bacteria,3Y8E2@57723|Acidobacteria	57723|Acidobacteria	M	Carboxypeptidase regulatory-like domain	-	-	-	-	-	-	-	-	-	-	-	-	CarboxypepD_reg
RMDv1_0000000667	469609.HMPREF0847_01903	3.2e-06	62.8	COG0358@1|root,COG4227@1|root,COG0358@2|Bacteria,COG4227@2|Bacteria,1TQN4@1239|Firmicutes,4HEPY@91061|Bacilli	91061|Bacilli	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M78
RMDv1_0000000668	1246995.AFR_22960	1.91e-23	120.0	COG4733@1|root,COG4733@2|Bacteria,2H7QD@201174|Actinobacteria,4DJZF@85008|Micromonosporales	201174|Actinobacteria	NU	Fibronectin type III domain	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	fn3
RMDv1_0000000669	909613.UO65_3864	1.08e-45	190.0	2B0K8@1|root,31SXX@2|Bacteria,2GRC0@201174|Actinobacteria,4ED70@85010|Pseudonocardiales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000670	296587.XP_002499809.1	1.4e-81	298.0	2E3BA@1|root,2SAF2@2759|Eukaryota,3822D@33090|Viridiplantae,34NGR@3041|Chlorophyta	2759|Eukaryota	S	FG-GAP repeat	-	-	-	-	-	-	-	-	-	-	-	-	FG-GAP_2
RMDv1_0000000671	946362.XP_004998934.1	6.07e-18	102.0	2CAHM@1|root,2S38J@2759|Eukaryota,3AGB1@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000672	391595.RLO149_c003160	0.0	2365.0	COG2931@1|root,COG2931@2|Bacteria,1Q4W6@1224|Proteobacteria,2VBAV@28211|Alphaproteobacteria,2P4FD@2433|Roseobacter	28211|Alphaproteobacteria	Q	calcium- and calmodulin-responsive adenylate cyclase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000673	391595.RLO149_c003160	0.0	2348.0	COG2931@1|root,COG2931@2|Bacteria,1Q4W6@1224|Proteobacteria,2VBAV@28211|Alphaproteobacteria,2P4FD@2433|Roseobacter	28211|Alphaproteobacteria	Q	calcium- and calmodulin-responsive adenylate cyclase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000674	1298593.TOL_0395	6.77e-25	124.0	COG2304@1|root,COG2304@2|Bacteria,1R30D@1224|Proteobacteria,1T60R@1236|Gammaproteobacteria,1XKMA@135619|Oceanospirillales	2|Bacteria	S	oxidoreductase activity	-	-	-	ko:K07114	-	-	-	-	ko00000,ko02000	1.A.13.2.2,1.A.13.2.3	-	-	CHU_C,DUF11,Glug,NADase_NGA
RMDv1_0000000675	946362.XP_004993349.1	1.98e-25	126.0	2CAHM@1|root,2S38J@2759|Eukaryota,3AGB1@33154|Opisthokonta	33154|Opisthokonta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000676	935261.JAGL01000034_gene3889	3.26e-22	114.0	COG3468@1|root,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria,2U0JK@28211|Alphaproteobacteria,43H8S@69277|Phyllobacteriaceae	28211|Alphaproteobacteria	MU	TIGRFAM outer membrane autotransporter barrel domain	-	-	-	-	-	-	-	-	-	-	-	-	Autotransporter,Pertactin
RMDv1_0000000677	485918.Cpin_5094	3.31e-52	215.0	COG1472@1|root,COG3391@1|root,COG4932@1|root,COG1472@2|Bacteria,COG3391@2|Bacteria,COG4932@2|Bacteria,4PN87@976|Bacteroidetes	976|Bacteroidetes	M	Calx-beta domain	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11
RMDv1_0000000678	1137799.GZ78_08895	0.0	1469.0	COG0689@1|root,COG0726@1|root,COG2911@1|root,COG2931@1|root,COG3055@1|root,COG3533@1|root,COG5434@1|root,COG0689@2|Bacteria,COG0726@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3055@2|Bacteria,COG3533@2|Bacteria,COG5434@2|Bacteria,1MU7T@1224|Proteobacteria,1S3Q4@1236|Gammaproteobacteria,1XK3E@135619|Oceanospirillales	135619|Oceanospirillales	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	VWA_2
RMDv1_0000000679	886293.Sinac_4765	3.01e-27	132.0	COG3210@1|root,COG4733@1|root,COG3210@2|Bacteria,COG4733@2|Bacteria,2J50K@203682|Planctomycetes	203682|Planctomycetes	U	Pkd domain containing protein	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	-
RMDv1_0000000680	886293.Sinac_4765	7.47e-21	111.0	COG3210@1|root,COG4733@1|root,COG3210@2|Bacteria,COG4733@2|Bacteria,2J50K@203682|Planctomycetes	203682|Planctomycetes	U	Pkd domain containing protein	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	-
RMDv1_0000000681	1121373.KB903632_gene508	1.24e-83	317.0	COG1520@1|root,COG1520@2|Bacteria,4NNUN@976|Bacteroidetes,47Q36@768503|Cytophagia	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 8 (cellulase D) family	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,I-set,Ig_3,SBBP
RMDv1_0000000682	1034769.KB910518_gene672	2.76e-64	254.0	COG4733@1|root,COG4733@2|Bacteria,1VSQY@1239|Firmicutes,4HURB@91061|Bacilli,27213@186822|Paenibacillaceae	91061|Bacilli	S	Fibronectin type 3 domain	-	-	-	-	-	-	-	-	-	-	-	-	fn3
RMDv1_0000000683	349521.HCH_05643	3.81e-271	929.0	COG3209@1|root,COG3209@2|Bacteria,1QW4H@1224|Proteobacteria,1T42N@1236|Gammaproteobacteria,1XMP6@135619|Oceanospirillales	135619|Oceanospirillales	M	RHS Repeat	-	-	-	-	-	-	-	-	-	-	-	-	RHS_repeat
RMDv1_0000000684	290317.Cpha266_2348	9.5e-42	180.0	COG3210@1|root,COG3468@1|root,COG3210@2|Bacteria,COG3468@2|Bacteria,1FEDM@1090|Chlorobi	1090|Chlorobi	MU	TIGRFAM outer membrane autotransporter barrel domain	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000685	81824.XP_001743008.1	2.33e-32	149.0	KOG3610@1|root,KOG3610@2759|Eukaryota,39QB7@33154|Opisthokonta	33154|Opisthokonta	T	ig-like, plexins, transcription factors	-	-	-	-	-	-	-	-	-	-	-	-	TIG
RMDv1_0000000686	377629.TERTU_1697	8.56e-158	564.0	COG3210@1|root,COG3210@2|Bacteria,1MXIP@1224|Proteobacteria,1RSAX@1236|Gammaproteobacteria,2PNKN@256005|Alteromonadales genera incertae sedis	1236|Gammaproteobacteria	U	haemagglutination activity domain	rscA	-	-	-	-	-	-	-	-	-	-	-	DUF3739,ESPR,Haemagg_act,PATR
RMDv1_0000000687	324057.Pjdr2_1410	1.54e-172	609.0	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000000688	378806.STAUR_6990	4.64e-25	125.0	COG4412@1|root,COG4412@2|Bacteria,1R3SG@1224|Proteobacteria,42SZZ@68525|delta/epsilon subdivisions,2WPD0@28221|Deltaproteobacteria,2YUKS@29|Myxococcales	28221|Deltaproteobacteria	E	Fungalysin metallopeptidase (M36)	-	-	-	-	-	-	-	-	-	-	-	-	PA,Peptidase_M36,REJ
RMDv1_0000000689	319224.Sputcn32_3591	7.42e-13	85.1	COG2911@1|root,COG2931@1|root,COG3209@1|root,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,1MU7T@1224|Proteobacteria,1RNK8@1236|Gammaproteobacteria,2Q9AA@267890|Shewanellaceae	1236|Gammaproteobacteria	Q	Outer membrane adhesin like proteiin	rtxA	-	-	-	-	-	-	-	-	-	-	-	Cadherin,Cadherin_3,Calx-beta,He_PIG,HemolysinCabind,VWA,VWA_2
RMDv1_0000000690	366602.Caul_4162	4.66e-220	768.0	COG2834@1|root,COG2931@1|root,COG4932@1|root,COG2834@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,2TRVY@28211|Alphaproteobacteria	28211|Alphaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,HCBP_related,He_PIG,HemolysinCabind
RMDv1_0000000691	81824.XP_001743008.1	2.2e-25	126.0	KOG3610@1|root,KOG3610@2759|Eukaryota,39QB7@33154|Opisthokonta	33154|Opisthokonta	T	ig-like, plexins, transcription factors	-	-	-	-	-	-	-	-	-	-	-	-	TIG
RMDv1_0000000692	316274.Haur_4998	3.73e-79	302.0	COG3210@1|root,COG3391@1|root,COG5184@1|root,COG3210@2|Bacteria,COG3391@2|Bacteria,COG5184@2|Bacteria	2|Bacteria	DZ	guanyl-nucleotide exchange factor activity	-	-	-	ko:K20276	ko02024,map02024	-	-	-	ko00000,ko00001	-	-	-	Autotransporter,Beta_helix,CHU_C,Calx-beta,DUF4347,FG-GAP,HYR,VCBS
RMDv1_0000000693	1469245.JFBG01000086_gene1629	6.28e-55	219.0	COG2133@1|root,COG2133@2|Bacteria,1R336@1224|Proteobacteria	2|Bacteria	G	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides	-	-	-	ko:K21430	-	-	-	-	ko00000,ko01000	-	-	-	Big_5,GSDH,PA14
RMDv1_0000000694	530564.Psta_3664	4.68e-68	264.0	COG1450@1|root,COG1450@2|Bacteria,2IX4B@203682|Planctomycetes	203682|Planctomycetes	NU	general secretion pathway protein D	-	-	-	ko:K02453	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	Secretin,Secretin_N
RMDv1_0000000695	457425.XNR_5855	0.0	1712.0	COG3321@1|root,COG3321@2|Bacteria,2H477@201174|Actinobacteria	201174|Actinobacteria	Q	polyketide synthase	-	-	-	ko:K16386,ko:K19208	ko01052,map01052	-	-	-	ko00000,ko00001	-	-	-	ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,Docking,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt
RMDv1_0000000696	1461694.ATO9_12480	8.14e-245	850.0	COG0771@1|root,COG2931@1|root,COG0771@2|Bacteria,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,2V8V8@28211|Alphaproteobacteria,2PFGF@252301|Oceanicola	28211|Alphaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000697	1415755.JQLV01000001_gene1861	3.66e-229	799.0	COG2133@1|root,COG2755@1|root,COG2982@1|root,COG3055@1|root,COG4894@1|root,COG2133@2|Bacteria,COG2755@2|Bacteria,COG2982@2|Bacteria,COG3055@2|Bacteria,COG4894@2|Bacteria,1RBEG@1224|Proteobacteria	1224|Proteobacteria	GM	Di-glucose binding within endoplasmic reticulum	-	-	-	-	-	-	-	-	-	-	-	-	Malectin
RMDv1_0000000698	1137799.GZ78_10820	1.61e-184	637.0	COG3209@1|root,COG3209@2|Bacteria,1MVV1@1224|Proteobacteria,1RMPT@1236|Gammaproteobacteria,1XMIT@135619|Oceanospirillales	135619|Oceanospirillales	M	Salmonella virulence plasmid 65kDa B protein	-	-	-	-	-	-	-	-	-	-	-	-	RHS_repeat,SpvB
RMDv1_0000000699	1297865.APJD01000014_gene749	1.04e-13	87.4	COG3468@1|root,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria,2U0JK@28211|Alphaproteobacteria,3JUMT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	MU	Autotransporter beta-domain	-	-	-	ko:K19231	-	-	-	-	ko00000,ko02000	1.B.12	-	-	Autotransporter,PATR,Pertactin
RMDv1_0000000700	1161401.ASJA01000002_gene2755	4.09e-94	350.0	COG2931@1|root,COG3420@1|root,COG2931@2|Bacteria,COG3420@2|Bacteria,1NRRU@1224|Proteobacteria,2UQ51@28211|Alphaproteobacteria	28211|Alphaproteobacteria	P	Parallel beta-helix repeats	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000701	1056512.D515_02715	0.0	7910.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1SKNR@1236|Gammaproteobacteria,1XSUJ@135623|Vibrionales	135623|Vibrionales	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	HemolysinCabind
RMDv1_0000000702	1196095.GAPWK_0732	1.72e-24	123.0	COG3266@1|root,COG3468@1|root,COG3266@2|Bacteria,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria	1224|Proteobacteria	MU	outer membrane autotransporter barrel domain	-	-	-	ko:K12678,ko:K19231	-	-	-	-	ko00000,ko02000,ko02044	1.B.12,1.B.12.1.1,1.B.12.1.3	-	-	Autotransporter,ESPR,PATR,Pertactin
RMDv1_0000000703	1469245.JFBG01000023_gene1286	1.85e-49	206.0	COG1404@1|root,COG2133@1|root,COG1404@2|Bacteria,COG2133@2|Bacteria,1RCVP@1224|Proteobacteria	1224|Proteobacteria	O	pyrroloquinoline quinone binding	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta
RMDv1_0000000704	517418.Ctha_2076	5.4e-188	662.0	COG2911@1|root,COG3210@1|root,COG2911@2|Bacteria,COG3210@2|Bacteria,1FF5N@1090|Chlorobi	1090|Chlorobi	U	YceI-like domain	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000705	517418.Ctha_2076	6.03e-197	692.0	COG2911@1|root,COG3210@1|root,COG2911@2|Bacteria,COG3210@2|Bacteria,1FF5N@1090|Chlorobi	1090|Chlorobi	U	YceI-like domain	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000706	1117314.PCIT_13944	0.0	1707.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,1RPAG@1236|Gammaproteobacteria,2Q0KN@267888|Pseudoalteromonadaceae	1236|Gammaproteobacteria	Q	COG1020 Non-ribosomal peptide synthetase modules and related proteins	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase
RMDv1_0000000707	472759.Nhal_3623	2.97e-42	178.0	COG1404@1|root,COG1404@2|Bacteria,1RDZC@1224|Proteobacteria,1S91S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Subtilase family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S8
RMDv1_0000000708	517418.Ctha_2076	1.14e-212	743.0	COG2911@1|root,COG3210@1|root,COG2911@2|Bacteria,COG3210@2|Bacteria,1FF5N@1090|Chlorobi	1090|Chlorobi	U	YceI-like domain	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000000709	533240.CRC_01910	4.26e-104	386.0	COG0834@1|root,COG2911@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3420@1|root,COG4932@1|root,COG5276@1|root,COG0834@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3420@2|Bacteria,COG4932@2|Bacteria,COG5276@2|Bacteria,1GQ0G@1117|Cyanobacteria,1HN8U@1161|Nostocales	1117|Cyanobacteria	MU	Dystroglycan-type cadherin-like domains.	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,He_PIG,RHS_repeat
RMDv1_0000000710	400682.PAC_15710479	1.9e-95	357.0	29RY4@1|root,2RXCD@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	REJ,Tetraspannin
RMDv1_0000000711	43989.cce_3079	0.0	2256.0	COG3321@1|root,COG3321@2|Bacteria,1FZXE@1117|Cyanobacteria,3KG6F@43988|Cyanothece	1117|Cyanobacteria	Q	Short-chain dehydrogenase reductase SDR	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N,ADH_zinc_N_2,AMP-binding,Abhydrolase_1,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Sulfotransfer_3,ketoacyl-synt
RMDv1_0000000712	533240.CRC_01910	7.64e-49	204.0	COG0834@1|root,COG2911@1|root,COG2931@1|root,COG3209@1|root,COG3210@1|root,COG3420@1|root,COG4932@1|root,COG5276@1|root,COG0834@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3209@2|Bacteria,COG3210@2|Bacteria,COG3420@2|Bacteria,COG4932@2|Bacteria,COG5276@2|Bacteria,1GQ0G@1117|Cyanobacteria,1HN8U@1161|Nostocales	1117|Cyanobacteria	MU	Dystroglycan-type cadherin-like domains.	-	-	-	-	-	-	-	-	-	-	-	-	Cadherin,He_PIG,RHS_repeat
RMDv1_0000000713	985054.JQEZ01000002_gene3829	1.62e-18	103.0	COG3468@1|root,COG4625@1|root,COG3468@2|Bacteria,COG4625@2|Bacteria,1MU92@1224|Proteobacteria,2TX9B@28211|Alphaproteobacteria	28211|Alphaproteobacteria	MU	Autotransporter beta-domain	-	-	-	ko:K19231	-	-	-	-	ko00000,ko02000	1.B.12	-	-	Autotransporter,PATR
RMDv1_0000000714	1122132.AQYH01000001_gene973	3.64e-17	98.6	COG3468@1|root,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria,2U0JK@28211|Alphaproteobacteria,4BCNC@82115|Rhizobiaceae	28211|Alphaproteobacteria	MU	Autotransporter beta-domain	-	-	-	ko:K19231	-	-	-	-	ko00000,ko02000	1.B.12	-	-	Autotransporter,PATR,Pertactin
RMDv1_0000000716	243231.GSU0279	3.43e-89	337.0	COG2373@1|root,COG2931@1|root,COG3210@1|root,COG5295@1|root,COG2373@2|Bacteria,COG2931@2|Bacteria,COG3210@2|Bacteria,COG5295@2|Bacteria,1MU7T@1224|Proteobacteria	1224|Proteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta,TIG
RMDv1_0000000717	1122179.KB890425_gene3428	2.72e-69	270.0	COG1404@1|root,COG2356@1|root,COG3291@1|root,COG1404@2|Bacteria,COG2356@2|Bacteria,COG3291@2|Bacteria,4PPF8@976|Bacteroidetes	976|Bacteroidetes	O	Reprolysin (M12B) family zinc metalloprotease	-	-	-	-	-	-	-	-	-	-	-	-	Reprolysin_5
RMDv1_0000000718	1237149.C900_01219	1.37e-182	629.0	COG4932@1|root,COG5644@1|root,COG4932@2|Bacteria,COG5644@2|Bacteria,4NN56@976|Bacteroidetes,47Q8D@768503|Cytophagia	976|Bacteroidetes	M	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,VCBS
RMDv1_0000000719	1041159.AZUW01000012_gene2253	2.26e-289	994.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,2TRVY@28211|Alphaproteobacteria,4BB16@82115|Rhizobiaceae	28211|Alphaproteobacteria	Q	COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	DUF4347,HCBP_related,He_PIG,HemolysinCabind,Metallophos
RMDv1_0000000720	1121396.KB893085_gene343	0.0	1790.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42Z5Y@68525|delta/epsilon subdivisions,2X8JI@28221|Deltaproteobacteria,2MMZD@213118|Desulfobacterales	1224|Proteobacteria	Q	Condensation domain	-	-	-	ko:K04786	ko01053,map01053	-	-	-	ko00000,ko00001,ko01004,ko01008	-	-	-	AMP-binding,AMP-binding_C,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000000721	448385.sce4135	0.0	1945.0	COG1020@1|root,COG3321@1|root,COG1020@2|Bacteria,COG3321@2|Bacteria,1PG0C@1224|Proteobacteria,438D6@68525|delta/epsilon subdivisions,2X3NC@28221|Deltaproteobacteria,2YWMV@29|Myxococcales	28221|Deltaproteobacteria	Q	Pfam:NRPS	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Nitroreductase,PP-binding,ketoacyl-synt
RMDv1_0000000722	675814.VIC_002499	0.0	8065.0	COG2931@1|root,COG3209@1|root,COG2931@2|Bacteria,COG3209@2|Bacteria,1MU7T@1224|Proteobacteria,1SKNR@1236|Gammaproteobacteria,1XSUJ@135623|Vibrionales	135623|Vibrionales	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	HemolysinCabind,Peptidase_M10_C
RMDv1_0000000723	1027273.GZ77_00465	0.0	3464.0	COG0726@1|root,COG2931@1|root,COG4932@1|root,COG5184@1|root,COG0726@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,1MU7T@1224|Proteobacteria	1224|Proteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	3.4.24.40	ko:K01406,ko:K07004	ko01503,map01503	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	5_nucleotid_C,HemolysinCabind,Peptidase_M10_C
RMDv1_0000000724	1196095.GAPWK_0732	1.09e-21	114.0	COG3266@1|root,COG3468@1|root,COG3266@2|Bacteria,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria	1224|Proteobacteria	MU	outer membrane autotransporter barrel domain	-	-	-	ko:K12678,ko:K19231	-	-	-	-	ko00000,ko02000,ko02044	1.B.12,1.B.12.1.1,1.B.12.1.3	-	-	Autotransporter,ESPR,PATR,Pertactin
